iter	RMSE
0	13268.23903
1	13206.3367
2	13144.96288
3	13089.31788
4	13030.84424
5	12975.01886
6	12924.23272
7	12869.13095
8	12807.55838
9	12744.57564
10	12689.25468
11	12628.74476
12	12580.36173
13	12530.52271
14	12471.04353
15	12415.10922
16	12357.98529
17	12297.69568
18	12244.59875
19	12192.75108
20	12132.47955
21	12082.9266
22	12026.75532
23	11977.70667
24	11927.54839
25	11868.90671
26	11824.15923
27	11781.76537
28	11733.91015
29	11687.07473
30	11641.74135
31	11594.01766
32	11540.72962
33	11496.03773
34	11443.56819
35	11398.1496
36	11342.80373
37	11295.26813
38	11252.62544
39	11207.33006
40	11162.88116
41	11117.47333
42	11073.57447
43	11030.46167
44	10985.25946
45	10942.48491
46	10899.42785
47	10855.81743
48	10806.89728
49	10763.24176
50	10715.43765
51	10665.68782
52	10622.68336
53	10581.66813
54	10540.26584
55	10504.08348
56	10462.79303
57	10415.36981
58	10373.70523
59	10331.74366
60	10293.20575
61	10254.07504
62	10207.90495
63	10162.04074
64	10121.09832
65	10082.558
66	10045.62972
67	10006.9902
68	9969.136643
69	9929.255759
70	9883.319111
71	9840.129178
72	9802.227722
73	9758.677188
74	9727.079845
75	9690.229515
76	9652.314073
77	9610.739889
78	9572.530812
79	9535.500248
80	9500.765893
81	9459.80789
82	9425.740079
83	9383.657838
84	9341.45142
85	9307.651713
86	9271.431716
87	9236.434104
88	9195.484628
89	9161.362359
90	9127.154353
91	9093.196898
92	9059.64394
93	9024.052679
94	8993.040144
95	8957.774217
96	8918.341889
97	8884.886563
98	8850.092541
99	8816.526837
100	8784.491912
101	8746.31675
102	8708.210256
103	8675.246351
104	8643.91694
105	8611.059992
106	8574.187394
107	8537.170094
108	8500.258197
109	8471.777845
110	8440.109784
111	8411.305239
112	8381.297156
113	8345.07529
114	8315.055515
115	8278.443804
116	8243.080713
117	8211.914918
118	8176.023718
119	8147.297482
120	8113.278655
121	8078.80973
122	8044.172896
123	8012.561949
124	7979.45505
125	7949.873961
126	7915.753395
127	7887.695166
128	7854.570774
129	7824.056791
130	7794.649582
131	7765.712638
132	7737.851354
133	7709.996601
134	7682.646701
135	7656.227235
136	7623.552882
137	7590.618083
138	7558.333762
139	7539.696802
140	7513.120556
141	7484.574077
142	7452.856281
143	7427.043223
144	7401.509963
145	7375.224716
146	7348.870403
147	7321.563814
148	7296.823617
149	7268.033182
150	7242.31267
151	7217.218208
152	7190.992814
153	7164.045814
154	7137.725534
155	7112.114581
156	7082.571899
157	7056.233668
158	7032.956569
159	7007.752491
160	6983.122124
161	6958.667968
162	6934.018383
163	6906.138663
164	6880.519413
165	6856.827784
166	6833.753993
167	6810.564895
168	6787.625003
169	6763.485014
170	6738.93382
171	6716.074357
172	6692.807561
173	6665.261234
174	6641.456073
175	6620.784093
176	6597.70633
177	6574.202978
178	6553.170341
179	6531.227023
180	6508.686354
181	6482.811164
182	6454.189618
183	6432.463566
184	6416.770059
185	6401.538359
186	6379.681936
187	6359.025648
188	6337.840952
189	6313.010005
190	6290.95766
191	6270.525435
192	6245.78623
193	6224.31742
194	6207.794391
195	6187.248702
196	6167.097522
197	6147.053379
198	6126.71551
199	6106.373996
200	6082.892068
201	6065.246562
202	6045.699642
203	6026.303139
204	6002.690508
205	5988.272419
206	5967.698507
207	5947.798027
208	5927.755369
209	5908.196577
210	5885.533652
211	5862.586168
212	5849.038001
213	5829.012448
214	5806.191627
215	5787.057263
216	5769.086428
217	5750.83538
218	5736.246522
219	5717.016537
220	5695.43087
221	5675.991864
222	5654.818644
223	5636.278004
224	5614.845967
225	5596.904753
226	5578.990656
227	5560.414292
228	5542.507823
229	5524.240574
230	5506.552249
231	5488.560062
232	5471.871345
233	5458.996033
234	5445.545549
235	5432.312377
236	5411.585599
237	5398.029632
238	5377.785397
239	5358.410146
240	5342.120082
241	5330.399629
242	5313.568631
243	5297.302115
244	5280.547178
245	5267.563003
