iter	Passed	Remaining
0	140	70158
1	141	35138
2	141	23465
3	142	17621
4	142	14116
5	143	11779
6	143	10108
7	144	8856
8	144	7883
9	145	7105
10	145	6467
11	145	5934
12	146	5483
13	146	5097
14	147	4762
15	147	4472
16	148	4213
17	148	3984
18	149	3778
19	149	3593
20	150	3425
21	150	3274
22	151	3134
23	151	3007
24	152	2889
25	152	2780
26	152	2680
27	153	2591
28	154	2505
29	155	2434
30	156	2361
31	157	2308
32	158	2240
33	159	2181
34	159	2122
35	160	2064
36	160	2012
37	161	1962
38	161	1913
39	162	1866
40	162	1823
41	163	1780
42	163	1741
43	164	1702
44	165	1673
45	166	1639
46	166	1606
47	167	1575
48	167	1544
49	168	1515
50	168	1487
51	169	1459
52	169	1433
53	170	1409
54	171	1384
55	171	1360
56	172	1337
57	172	1316
58	173	1294
59	173	1274
60	174	1254
61	174	1235
62	175	1216
63	176	1199
64	176	1182
65	177	1165
66	177	1149
67	178	1133
68	178	1117
69	179	1101
70	179	1086
71	180	1072
72	181	1058
73	181	1045
74	182	1031
75	182	1020
76	183	1007
77	184	995
78	184	984
79	185	972
80	185	961
81	186	949
82	186	939
83	187	928
84	188	918
85	188	908
86	189	899
87	189	889
88	190	879
89	191	870
90	191	861
91	192	852
92	192	843
93	193	835
94	193	826
95	194	818
96	195	810
97	195	802
98	196	794
99	196	786
100	197	779
101	197	772
102	198	764
103	198	757
104	199	749
105	200	743
106	200	737
107	201	730
108	201	723
109	202	718
110	203	711
111	203	705
112	204	699
113	204	692
114	205	687
115	205	681
116	206	675
117	206	669
118	207	663
119	208	658
120	208	653
121	209	647
122	209	642
123	210	637
124	210	632
125	211	627
126	211	622
127	212	617
128	213	612
129	213	607
130	214	603
131	214	598
132	215	594
133	215	589
134	216	585
135	216	580
136	217	576
137	217	571
138	218	567
139	219	563
140	219	559
141	220	554
142	220	550
143	221	546
144	221	542
145	222	539
146	223	535
147	223	531
148	224	528
149	224	524
150	225	520
151	225	517
152	226	513
153	226	509
154	227	506
155	228	502
156	228	499
157	229	495
158	229	492
159	230	489
160	230	486
