company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
Icl Fincorp,3.3,184 ,590,23,31,1,7
Way.com,4.1,168 ,478,9,2,3,5
SOS Children's Village,3.4,191 ,487,13,13,21,--
iLabz Technology,3.1,120 ,754,7,--,8,--
Rajan Technocast,4.8,208 ,168,10,2,8,--
Arcon TechSolutions,3.3,157 ,955,34,--,10,--
SOLITAIRE GROUP,3.6,120 ,633,5,--,4,--
CSC,3.5,635 ,4.3k,66,67,4,22
Sahu Exports,4.2,155 ,563,12,--,6,2
Matrix Cellular Services,4.0,177 ,451,2,--,18,--
Prologic Web Solutions,4.0,200 ,387,37,4,16,1
Anglo-Eastern Ship Management,4.1,205 ,547,17,4,22,1
Data Entry,4.2,641 ,1.9k,126,5,50,--
Leap Finance,3.2,244 ,980,74,79,4,1
ClinChoice,3.8,120 ,551,14,5,13,--
Snowcem Paints,4.4,130 ,191,7,1,4,--
Ideaforge Technology,3.5,153 ,973,16,61,6,9
Texas Instruments,3.9,215 ,2.2k,132,--,13,--
Fluper,3.9,338 ,547,24,5,43,--
Thriveni Sainik Mining,4.2,169 ,554,24,--,12,--
CyberSWIFT Infotech,3.0,207 ,457,10,2,25,1
M&G Global Services,3.4,166 ,1.4k,12,26,7,3
Ayana Renewable Power,4.3,137 ,567,3,7,2,--
Ratna Sagar,3.9,224 ,722,34,5,24,--
Greytrix,3.2,128 ,532,14,11,39,15
Biltech Building Elements,3.5,108 ,479,4,1,6,--
Tekskills,3.9,145 ,817,25,23,9,11
Northern Arc Capital,3.7,203 ,941,16,5,4,--
BASIX Academy for Building Lifelong Employability,3.8,137 ,221,8,2,7,--
Reliance Smart Point,4.3,180 ,416,21,--,9,1
Tumbledry Solutions,3.8,125 ,337,6,1,1,--
Transasia Bio-Medicals,3.3,433 ,1.7k,22,10,31,1
Noida International University,3.1,112 ,460,5,--,10,2
G Plast,3.5,109 ,527,5,31,5,12
Freedom English Academy,4.0,109 ,208,9,--,17,--
Zodiac Clothing Company,3.1,159 ,458,8,2,13,--
Flovel Energy,3.9,159 ,638,12,2,16,--
SasMos HET Technologies,3.7,262 ,1.4k,17,1,11,--
Eben Telecom,3.9,116 ,311,12,8,3,--
Locobuzz,2.6,135 ,509,11,12,29,--
Bhima Gold,3.9,204 ,794,17,7,15,--
Pai International Electronics,4.4,107 ,280,5,1,7,--
Central Tool Room & Training Centre,4.2,237 ,611,7,--,23,1
